STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
ccrcc_dfci_2019	RCC_1-Tumor-SM-A46EX	NA	NA	NA
ccrcc_dfci_2019	RCC_10-Tumor-SM-A46EN	NA	NA	NA
ccrcc_dfci_2019	RCC_102-Tumor-SM-A46FM	NA	NA	NA
ccrcc_dfci_2019	RCC_105-Tumor-SM-A46FA	NA	NA	NA
ccrcc_dfci_2019	RCC_106-Tumor-SM-A46FT	NA	NA	NA
ccrcc_dfci_2019	RCC_11-Tumor-SM-A46F1	NA	NA	NA
ccrcc_dfci_2019	RCC_114-Tumor-SM-A46FO	NA	NA	NA
ccrcc_dfci_2019	RCC_115-Tumor-SM-A46FY	NA	NA	NA
ccrcc_dfci_2019	RCC_117-Tumor-SM-A46FP	NA	NA	NA
ccrcc_dfci_2019	RCC_119-Tumor-SM-A46FX	NA	NA	NA
ccrcc_dfci_2019	RCC_14-Tumor-SM-A46F5	NA	NA	NA
ccrcc_dfci_2019	RCC_15-Tumor-SM-A46EE	NA	NA	NA
ccrcc_dfci_2019	RCC_18-Tumor-SM-A46EL	NA	NA	NA
ccrcc_dfci_2019	RCC_20-Tumor-SM-A46EG	NA	NA	NA
ccrcc_dfci_2019	RCC_21-Tumor-SM-A46FB	NA	NA	NA
ccrcc_dfci_2019	RCC_25-Tumor-SM-A46EF	NA	NA	NA
ccrcc_dfci_2019	RCC_27-Tumor-SM-A46ES	NA	NA	NA
ccrcc_dfci_2019	RCC_32-Tumor-SM-A46FH	NA	NA	NA
ccrcc_dfci_2019	RCC_39-Tumor-SM-A46EP	NA	NA	NA
ccrcc_dfci_2019	RCC_41-Tumor-SM-A46FE	NA	NA	NA
ccrcc_dfci_2019	RCC_50-Tumor-SM-A46EK	NA	NA	NA
ccrcc_dfci_2019	RCC_52-Tumor-SM-A46EU	NA	NA	NA
ccrcc_dfci_2019	RCC_56-Tumor-SM-A46EJ	NA	NA	NA
ccrcc_dfci_2019	RCC_58-Tumor-SM-A46FJ	NA	NA	NA
ccrcc_dfci_2019	RCC_62-Tumor-SM-A46FI	NA	NA	NA
ccrcc_dfci_2019	RCC_68-Tumor-SM-A46FC	NA	NA	NA
ccrcc_dfci_2019	RCC_73-Tumor-SM-A46FG	NA	NA	NA
ccrcc_dfci_2019	RCC_79-Tumor-SM-A46ER	NA	NA	NA
ccrcc_dfci_2019	RCC_84-Tumor-SM-A46FL	NA	NA	NA
ccrcc_dfci_2019	RCC_85-Tumor-SM-A46EQ	NA	NA	NA
ccrcc_dfci_2019	RCC_90-Tumor-SM-A46F3	NA	NA	NA
ccrcc_dfci_2019	RCC_93-Tumor-SM-A46F8	NA	NA	NA
ccrcc_dfci_2019	RCC_96-Tumor-SM-A46FW	NA	NA	NA
ccrcc_dfci_2019	RCC_97-Tumor-SM-A46EW	NA	NA	NA
ccrcc_dfci_2019	RCC_99-Tumor-SM-A46F7	NA	NA	NA
ccrcc_irc_2014	EV001_M1	NA	NA	NA
ccrcc_irc_2014	EV001_M2a	NA	NA	NA
ccrcc_irc_2014	EV001_M2b	NA	NA	NA
ccrcc_irc_2014	EV001_R1	NA	NA	NA
ccrcc_irc_2014	EV001_R2	NA	NA	NA
ccrcc_irc_2014	EV001_R3	NA	NA	NA
ccrcc_irc_2014	EV001_R4	NA	NA	NA
ccrcc_irc_2014	EV001_R5	NA	NA	NA
ccrcc_irc_2014	EV001_R8	NA	NA	NA
ccrcc_irc_2014	EV001_R9	NA	NA	NA
ccrcc_irc_2014	EV002_M	NA	NA	NA
ccrcc_irc_2014	EV002_R1	NA	NA	NA
ccrcc_irc_2014	EV002_R3	NA	NA	NA
ccrcc_irc_2014	EV002_R4	NA	NA	NA
ccrcc_irc_2014	EV002_R6	NA	NA	NA
ccrcc_irc_2014	EV002_R7	NA	NA	NA
ccrcc_irc_2014	EV002_R9	NA	NA	NA
ccrcc_irc_2014	EV003_R1	NA	NA	NA
ccrcc_irc_2014	EV003_R2	NA	NA	NA
ccrcc_irc_2014	EV003_R3	NA	NA	NA
ccrcc_irc_2014	EV003_R4	NA	NA	NA
ccrcc_irc_2014	EV003_R5	NA	NA	NA
ccrcc_irc_2014	EV003_R6	NA	NA	NA
ccrcc_irc_2014	EV003_R7	NA	NA	NA
ccrcc_irc_2014	EV003_R9	NA	NA	NA
ccrcc_irc_2014	EV005_R1	NA	NA	NA
ccrcc_irc_2014	EV005_R2	NA	NA	NA
ccrcc_irc_2014	EV005_R3	NA	NA	NA
ccrcc_irc_2014	EV005_R4	NA	NA	NA
ccrcc_irc_2014	EV005_R5	NA	NA	NA
ccrcc_irc_2014	EV005_R6	NA	NA	NA
ccrcc_irc_2014	EV005_R7	NA	NA	NA
ccrcc_irc_2014	EV006_LN1a	NA	NA	NA
ccrcc_irc_2014	EV006_LN1b	NA	NA	NA
ccrcc_irc_2014	EV006_R1	NA	NA	NA
ccrcc_irc_2014	EV006_R15	NA	NA	NA
ccrcc_irc_2014	EV006_R2	NA	NA	NA
ccrcc_irc_2014	EV006_R3	NA	NA	NA
ccrcc_irc_2014	EV006_R4	NA	NA	NA
ccrcc_irc_2014	EV006_R6	NA	NA	NA
ccrcc_irc_2014	EV006_R7	NA	NA	NA
ccrcc_irc_2014	EV007_R1	NA	NA	NA
ccrcc_irc_2014	EV007_R2	NA	NA	NA
ccrcc_irc_2014	EV007_R3	NA	NA	NA
ccrcc_irc_2014	EV007_R4	NA	NA	NA
ccrcc_irc_2014	EV007_R5	NA	NA	NA
ccrcc_irc_2014	EV007_R6	NA	NA	NA
ccrcc_irc_2014	EV007_R7	NA	NA	NA
ccrcc_irc_2014	EV007_R9	NA	NA	NA
ccrcc_irc_2014	RMH002_R1	NA	NA	NA
ccrcc_irc_2014	RMH002_R2	NA	NA	NA
ccrcc_irc_2014	RMH002_R3	NA	NA	NA
ccrcc_irc_2014	RMH002_R7	NA	NA	NA
ccrcc_irc_2014	RMH004_R10	NA	NA	NA
ccrcc_irc_2014	RMH004_R2	NA	NA	NA
ccrcc_irc_2014	RMH004_R3	NA	NA	NA
ccrcc_irc_2014	RMH004_R4	NA	NA	NA
ccrcc_irc_2014	RMH004_R8	NA	NA	NA
ccrcc_irc_2014	RMH004_VT	NA	NA	NA
ccrcc_irc_2014	RMH008_R1	NA	NA	NA
ccrcc_irc_2014	RMH008_R2	NA	NA	NA
ccrcc_irc_2014	RMH008_R3	NA	NA	NA
ccrcc_irc_2014	RMH008_R4	NA	NA	NA
ccrcc_irc_2014	RMH008_R5	NA	NA	NA
ccrcc_irc_2014	RMH008_R6	NA	NA	NA
ccrcc_irc_2014	RMH008_R7	NA	NA	NA
ccrcc_irc_2014	RMH008_R8	NA	NA	NA
ccrcc_irc_2014	RK26_R1	NA	NA	NA
ccrcc_irc_2014	RK26_R10	NA	NA	NA
ccrcc_irc_2014	RK26_R11	NA	NA	NA
ccrcc_irc_2014	RK26_R2	NA	NA	NA
ccrcc_irc_2014	RK26_R3	NA	NA	NA
ccrcc_irc_2014	RK26_R4	NA	NA	NA
ccrcc_irc_2014	RK26_R5	NA	NA	NA
ccrcc_irc_2014	RK26_R6	NA	NA	NA
ccrcc_irc_2014	RK26_R7	NA	NA	NA
